time,latitude,longitude,depth,mag,effects,frequency,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,TimeCopy2,CalendarShort,CalendarLong,DayWeek
2021-10-14T03:12:56.650Z,18.3885,-68.221,143,4.45,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",ml,25,140,1.0897,0.31,pr,pr2021287001,2021-10-18T00:45:37.040Z,"28 km SE of Punta Cana, Dominican Republic",earthquake,1.98,1.21,0.1,20,reviewed,pr,pr,2021-10-14T03:12:56.650Z,10/14/21,"Thursday, October 14, 2021",Thursday
2021-11-12T00:32:13.855Z,-21.6281,-66.7844,230.66,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,130,1.844,0.89,us,us7000fte6,2021-11-12T01:12:58.040Z,"96 km SW of Atocha, Bolivia",earthquake,9.9,10.5,0.191,8,reviewed,us,us,2021-11-12T00:32:13.855Z,11/12/21,"Friday, November 12, 2021",Friday
2021-11-11T22:06:47.910Z,33.8351,141.9324,10,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,121,1.91,1.38,us,us7000ftd4,2021-11-12T00:10:54.040Z,"207 km SE of Katsuura, Japan",earthquake,8.3,1.9,0.15,13,reviewed,us,us,2021-11-11T22:06:47.910Z,11/11/21,"Thursday, November 11, 2021",Thursday
2021-11-11T03:21:29.331Z,36.4483,141.0634,43.05,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,135,2.306,0.91,us,us7000ft4j,2021-11-11T15:38:13.526Z,"40 km ESE of Hitachi, Japan",earthquake,8.9,4.4,0.156,12,reviewed,us,us,2021-11-11T03:21:29.331Z,11/11/21,"Thursday, November 11, 2021",Thursday
2021-11-09T10:57:27.929Z,31.9988,78.5637,10,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,87,4.752,0.46,us,us7000fsnw,2021-11-09T11:55:52.064Z,"90 km NE of Sarāhan, India",earthquake,3.7,1.9,0.067,66,reviewed,us,us,2021-11-09T10:57:27.929Z,11/9/21,"Tuesday, November 9, 2021",Tuesday
2021-11-08T17:45:44.987Z,13.1454,-89.178,71.53,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,149,0.57,1.12,us,us7000fsfp,2021-11-09T03:25:40.836Z,"41 km SSE of La Libertad, El Salvador",earthquake,7.2,7.4,0.052,109,reviewed,us,us,2021-11-08T17:45:44.987Z,11/8/21,"Monday, November 8, 2021",Monday
2021-11-08T16:02:50.573Z,-25.6398,-178.4354,342.92,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,127,3.637,0.6,us,us7000fsf0,2021-11-08T16:39:38.040Z,south of the Fiji Islands,earthquake,11.4,7.4,0.058,88,reviewed,us,us,2021-11-08T16:02:50.573Z,11/8/21,"Monday, November 8, 2021",Monday
2021-11-08T02:18:33.296Z,24.7275,95.2339,118.09,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,97,2.56,0.93,us,us7000fsb1,2021-11-08T02:39:00.040Z,"119 km E of Wāngjing, India",earthquake,9.4,3.3,0.07,59,reviewed,us,us,2021-11-08T02:18:33.296Z,11/8/21,"Monday, November 8, 2021",Monday
2021-11-07T19:43:20.793Z,-1.9911,125.7514,31.93,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,68,3.124,1.13,us,us7000fs9e,2021-11-07T20:39:01.040Z,"Pulau-Pulau Sula, Indonesia",earthquake,5.2,6.1,0.181,9,reviewed,us,us,2021-11-07T19:43:20.793Z,11/7/21,"Sunday, November 7, 2021",Sunday
2021-11-07T19:22:20.487Z,41.0692,141.9184,66.63,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,84,0.704,0.84,us,us7000fs98,2021-11-08T02:30:58.000Z,"61 km NE of Misawa, Japan",earthquake,7.2,6.9,0.091,35,reviewed,us,us,2021-11-07T19:22:20.487Z,11/7/21,"Sunday, November 7, 2021",Sunday
2021-11-06T09:37:23.644Z,53.6824,162.2625,10,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,113,2.263,1,us,us7000fryz,2021-11-06T10:11:07.040Z,"251 km ENE of Petropavlovsk-Kamchatsky, Russia",earthquake,8.4,1.9,0.065,70,reviewed,us,us,2021-11-06T09:37:23.644Z,11/6/21,"Saturday, November 6, 2021",Saturday
2021-11-06T05:30:22.461Z,-6.1268,130.1686,159.1,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,74,3.801,0.74,us,us7000frxq,2021-11-06T05:49:21.040Z,"291 km W of Tual, Indonesia",earthquake,3.7,8.4,0.098,31,reviewed,us,us,2021-11-06T05:30:22.461Z,11/6/21,"Saturday, November 6, 2021",Saturday
2021-11-05T18:48:20.448Z,-19.2641,-69.7925,93.44,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,136,0.51,1.21,us,us7000frth,2021-11-06T02:26:38.548Z,"102 km SSE of Arica, Chile",earthquake,5,5.8,0.074,54,reviewed,us,us,2021-11-05T18:48:20.448Z,11/5/21,"Friday, November 5, 2021",Friday
2021-11-05T14:08:05.831Z,30.0087,-113.9223,10,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,188,1.301,0.65,us,us7000frq1,2021-11-09T21:38:37.830Z,"119 km W of La Libertad, Mexico",earthquake,6.4,2,0.07,59,reviewed,us,us,2021-11-05T14:08:05.831Z,11/5/21,"Friday, November 5, 2021",Friday
2021-11-05T12:44:38.463Z,52.7897,161.0616,34.87,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,148,1.479,0.61,us,us7000frpp,2021-11-05T13:04:04.040Z,"166 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,10.9,7.2,0.108,25,reviewed,us,us,2021-11-05T12:44:38.463Z,11/5/21,"Friday, November 5, 2021",Friday
2021-11-05T04:13:52.135Z,2.1111,-78.963,49.02,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,151,1.93,0.99,us,us7000frle,2021-11-05T06:28:59.683Z,"34 km WNW of Salahonda, Colombia",earthquake,8.2,10.2,0.074,57,reviewed,us,us,2021-11-05T04:13:52.135Z,11/5/21,"Friday, November 5, 2021",Friday
2021-11-05T01:15:50.435Z,-23.1523,-178.8539,438.77,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,129,6.111,0.84,us,us7000frkj,2021-11-05T01:33:45.040Z,south of the Fiji Islands,earthquake,12.4,9.6,0.15,15,reviewed,us,us,2021-11-05T01:15:50.435Z,11/5/21,"Friday, November 5, 2021",Friday
2021-11-04T14:06:52.768Z,1.2543,126.4056,59.39,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,93,1.073,1.19,us,us7000fre5,2021-11-04T15:37:26.040Z,"120 km WNW of Ternate, Indonesia",earthquake,8.2,3.3,0.113,23,reviewed,us,us,2021-11-04T14:06:52.768Z,11/4/21,"Thursday, November 4, 2021",Thursday
2021-11-04T07:56:55.822Z,-6.8101,129.5299,129.93,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,71,4.719,0.54,us,us7000frcn,2021-11-04T08:26:12.040Z,Banda Sea,earthquake,3.1,8.4,0.098,35,reviewed,us,us,2021-11-04T07:56:55.822Z,11/4/21,"Thursday, November 4, 2021",Thursday
2021-11-03T16:10:38.019Z,29.9133,-113.6708,10,4.5,"Often felt, but only causes minor damage.","500,000 events per year on average (statistically).",mb,,110,1.514,1.13,us,us7000fr5l,2021-11-10T03:57:46.830Z,"94 km W of La Libertad, Mexico",earthquake,7.1,1.4,0.113,23,reviewed,us,us,2021-11-03T16:10:38.019Z,11/3/21,"Wednesday, November 3, 2021",Wednesday
